id	filename	md5	size
fcbb373e-28d4-4818-92f3-601ede3da5e1	TCGA-RPPA-pancan-clean.txt	e2b914c7ecd369589275d546d9555b05	18901234
dea893cd-9189-4091-9611-e761a1d31ebe	Purity_Ploidy_All_Samples_4-17-15.xlsx	614e5aeef6a63bdee6583835eeafce6e	394810
d82e2c44-89eb-43d9-b6d3-712732bf6a53	jhu-usc.edu_PANCAN_merged_HumanMethylation27_HumanMethylation450.betaValue_whitelisted.tsv	5cec086f0b002d17befef76a3241e73b	5022150019
99b0c493-9e94-4d99-af9f-151e46bab989	jhu-usc.edu_PANCAN_HumanMethylation450.betaValue_whitelisted.tsv	a92f50490cf4eca98b0d19e10927de9d	41541692788
7d4c0344-f018-4ab0-949a-09815f483480	merge_merged_reals.tar.gz	ff8bf50dcd3a314162af71d1b8e538b6	388646603
55d9bf6f-0712-4315-b588-e6f8e295018e	PanCanAtlas_miRNA_sample_information_list.txt	02bb56712be34bcd58c50d90387aebde	553408
3586c0da-64d0-4b74-a449-5ff4d9136611	EBPlusPlusAdjustPANCAN_IlluminaHiSeq_RNASeqV2.geneExp.tsv	02e72c33071307ff6570621480d3c90b	1882540959
1c8cfe5f-e52d-41ba-94da-f15ea1337efc	mc3.v0.2.8.PUBLIC.maf.gz	639ad8f8386e98dacc22e439188aa8fa	753339089
1c6174d9-8ffb-466e-b5ee-07b204c15cf8	pancanMiRs_EBadjOnProtocolPlatformWithoutRepsWithUnCorrectMiRs_08_04_16.csv	c7501dc3c505ca172a6a05b611bd11c3	67167640
1a7d7be8-675d-4e60-a105-19d4121bdebf	merged_sample_quality_annotations.tsv	05ddd2270fb1fb24fbdc2fe9bf7384e5	8463670
0fc78496-818b-4896-bd83-52db1f533c5c	clinical_PANCAN_patient_with_followup.tsv	ffcb35edda305dd8d615497f9214eb92	18633685
1b5f413e-a8d1-4d10-92eb-7c4ae739ed81	TCGA-CDR-SupplementalTableS1.xlsx	a4591b2dcee39591f59e5e25a6ce75fa	2945129
